                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.21128,                0.97062,                      1,                 1.3154,               0.003268,               0.003268,               0.003268
                     70,                0.21887,                0.97023,                      1,                 1.3154,               0.003169,               0.003169,               0.003169
                     71,                0.20815,                0.97004,                      1,                 1.3153,                0.00307,                0.00307,                0.00307
                     72,                0.20349,                0.97023,                      1,                 1.3151,               0.002971,               0.002971,               0.002971
                     73,                0.20808,                0.96964,                      1,                 1.3152,               0.002872,               0.002872,               0.002872
                     74,                0.20519,                0.97023,                      1,                 1.3151,               0.002773,               0.002773,               0.002773
                     75,                0.19919,                0.97004,                      1,                 1.3151,               0.002674,               0.002674,               0.002674
                     76,                0.19725,                0.97043,                      1,                 1.3149,               0.002575,               0.002575,               0.002575
                     77,                0.19286,                0.97023,                      1,                 1.3149,               0.002476,               0.002476,               0.002476
                     78,                0.19642,                0.97062,                      1,                 1.3147,               0.002377,               0.002377,               0.002377
                     79,                0.20025,                0.97023,                      1,                 1.3146,               0.002278,               0.002278,               0.002278
                     80,                0.19347,                0.97023,                      1,                 1.3145,               0.002179,               0.002179,               0.002179
                     81,                 0.1897,                0.97004,                      1,                 1.3145,                0.00208,                0.00208,                0.00208
                     82,                0.18991,                0.97004,                      1,                 1.3144,               0.001981,               0.001981,               0.001981
                     83,                0.18467,                0.96984,                      1,                 1.3144,               0.001882,               0.001882,               0.001882
                     84,                0.19096,                0.97004,                      1,                 1.3142,               0.001783,               0.001783,               0.001783
                     85,                0.17821,                0.97043,                      1,                 1.3143,               0.001684,               0.001684,               0.001684
                     86,                0.18539,                0.97023,                      1,                 1.3141,               0.001585,               0.001585,               0.001585
                     87,                0.17617,                0.97062,                      1,                 1.3141,               0.001486,               0.001486,               0.001486
                     88,                0.18014,                0.97082,                      1,                 1.3139,               0.001387,               0.001387,               0.001387
                     89,                0.17904,                0.97062,                      1,                 1.3141,               0.001288,               0.001288,               0.001288
                     90,                0.17477,                 0.9716,                      1,                 1.3139,               0.001189,               0.001189,               0.001189
                     91,                0.17794,                 0.9716,                      1,                 1.3138,                0.00109,                0.00109,                0.00109
                     92,                0.17425,                0.97141,                      1,                 1.3135,               0.000991,               0.000991,               0.000991
                     93,                0.16813,                0.97141,                      1,                 1.3135,               0.000892,               0.000892,               0.000892
                     94,                0.17172,                0.97121,                      1,                 1.3134,               0.000793,               0.000793,               0.000793
                     95,                0.16881,                0.97141,                      1,                 1.3133,               0.000694,               0.000694,               0.000694
                     96,                0.15994,                0.97141,                      1,                 1.3134,               0.000595,               0.000595,               0.000595
                     97,                0.16454,                0.97141,                      1,                  1.313,               0.000496,               0.000496,               0.000496
                     98,                 0.1682,                 0.9716,                      1,                  1.313,               0.000397,               0.000397,               0.000397
                     99,                0.16227,                 0.9716,                      1,                 1.3131,               0.000298,               0.000298,               0.000298
                    100,                0.15803,                0.97199,                      1,                 1.3129,               0.000199,               0.000199,               0.000199
